user,key,keyEvent,Time
aditya,71,Down,140915078
aditya,83,Up,140915078
aditya,73,Up,140915109
aditya,80,Down,140915109
aditya,86,Down,140915140
aditya,86,Up,140915156
aditya,9,Down,140915187
aditya,74,Down,140915187
aditya,66,Up,140915203
aditya,71,Up,140915218
aditya,66,Down,140915250
aditya,87,Down,140915250
aditya,80,Up,140915265
aditya,74,Up,140915312
aditya,9,Up,140915359
aditya,66,Up,140915437
aditya,71,Down,140915437
aditya,87,Up,140915453
aditya,73,Down,140915453
aditya,74,Down,140915453
aditya,9,Down,140915453
aditya,71,Up,140915484
aditya,82,Down,140915562
aditya,87,Down,140915562
aditya,74,Up,140915578
aditya,72,Down,140915609
aditya,73,Up,140915640
aditya,82,Up,140915718
aditya,84,Down,140915734
aditya,87,Up,140915750
aditya,85,Down,140915750
aditya,9,Up,140915765
aditya,72,Up,140915765
aditya,84,Up,140915781
aditya,85,Up,140915859
aditya,65,Down,140915968
aditya,74,Down,140915968
aditya,79,Down,140915968
aditya,70,Down,140916015
aditya,74,Up,140916093
aditya,78,Down,140916109
aditya,80,Down,140916109
aditya,78,Up,140916171
aditya,65,Up,140916203
aditya,70,Up,140916218
aditya,65,Down,140916218
aditya,74,Down,140916234
aditya,83,Down,140916296
aditya,80,Up,140916312
aditya,68,Down,140916312
aditya,65,Up,140916343
aditya,86,Down,140916359
aditya,74,Up,140916375
aditya,79,Up,140916375
aditya,68,Up,140916390
aditya,78,Down,140916390
aditya,80,Down,140916421
aditya,83,Up,140916421
aditya,86,Up,140916437
aditya,74,Down,140916453
aditya,80,Up,140916468
aditya,86,Down,140916546
aditya,68,Down,140916578
aditya,83,Down,140916578
aditya,74,Up,140916578
aditya,83,Up,140916609
aditya,68,Up,140916640
aditya,86,Up,140916687
aditya,75,Down,140916703
aditya,78,Up,140916703
aditya,86,Down,140916812
aditya,75,Up,140916812
aditya,78,Down,140916828
aditya,0,Down,140916859
aditya,86,Up,140916890
aditya,79,Down,140916937
aditya,78,Up,140916953
aditya,0,Up,140917015
aditya,71,Down,140917031
aditya,83,Down,140917031
aditya,74,Down,140917031
